user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Sono un utente di una Stazione Appaltante e ho appena ricevuto le nuove credenziali per EmPULIA. Qual è il primo passo che devo compiere dopo aver fatto l'accesso?,['Informazioni rilevanti trovate nel Knowledge Graph:\n\n- Entità: Stazione Appaltante (SA) (Tipo: Attore)'],"Dopo aver effettuato l'accesso a EmPULIA con le nuove credenziali, il primo passo fondamentale che devi compiere come utente di una Stazione Appaltante (SA) è **aggiornare e verificare i dati della tua Stazione Appaltante.**

Questo include:

*   **Verificare la correttezza dei dati anagrafici:** Assicurati che la denominazione, il codice fiscale, la partita IVA, la sede legale e gli altri dati identificativi della SA siano corretti e aggiornati.
*   **Aggiornare i dati di contatto:** Verifica e, se necessario, aggiorna i recapiti telefonici, gli indirizzi email (sia ordinari che PEC) e gli altri contatti della SA.
*   **Verificare e/o aggiornare i profili utente:** Controlla i profili degli utenti abilitati ad operare per conto della SA su EmPULIA, verificando i loro ruoli, permessi e dati di contatto. Aggiungi o rimuovi utenti se necessario.
*   **Configurare le impostazioni di notifica:** Imposta le preferenze per la ricezione delle notifiche relative alle procedure di gara, agli avvisi e alle comunicazioni importanti.

**Perché è importante:**

*   **Correttezza delle comunicazioni:** Dati corretti garantiscono che le comunicazioni da e verso EmPULIA raggiungano i destinatari giusti.
*   **Conformità normativa:** Mantenere aggiornate le informazioni della SA è un requisito per la conformità alle normative sugli appalti pubblici.
*   **Efficienza operativa:** Dati accurati facilitano la gestione delle procedure di gara e riducono il rischio di errori.

**Dove trovare le opzioni per l'aggiornamento:**

Solitamente, le opzioni per la gestione dei dati della SA si trovano in una sezione dedicata del portale EmPULIA, spesso denominata ""Profilo SA"", ""Gestione Utenti"", ""Impostazioni"" o simili. Consulta la documentazione di EmPULIA o contatta l'assistenza tecnica per individuare la sezione corretta.","Dopo aver effettuato il primo accesso con le nuove credenziali, il primo passo obbligatorio è il cambio della password. Questa azione si trova nella 'Lista attività' ed è definita come un' 'Attività Bloccante', il che significa che non potrai usare altre funzionalità finché non l'avrai completata.",0.0,0.8353924563349985,0.0,0.0
Come si attiva e si inizia a personalizzare il DGUE strutturato per una gara?,"['Informazioni rilevanti trovate nel Knowledge Graph:\n\n- Entità: Comando DGUE Strutturato (Tipo: ComandoUI)\n  Descrizione: Comando per attivare il DGUE strutturato.\n- Entità: Condivisione DGUE strutturato (Tipo: FunzionalitàPiattaforma)\n  Descrizione: Funzionalità di condivisione del DGUE strutturato tramite EmPULIA.\n- Entità: Condivisione DGUE Strutturato (Tipo: FunzionalitàPiattaforma)\n- Entità: condivisione dgue strutturato (Tipo: FunzionalitàPiattaforma)', ""--- Testo Originale dalle Guide per Contesto Aggiuntivo ---\n\nFonte: SA_ConfigurazioneDGUE.pdf - Pagina 4 - Sezione 'DETTAGLIO DEI MODULI DA COMPLETARE'\n```\nManuale SA | Configurazione del DGUE Manuale SA | Configurazione del DGUE Il DGUE (Documento di Gara Unico Europeo) elettronico consiste in un modello auto dichiarativo, sviluppato sulla base di uno standard europeo, con cui l'Operatore Economico autocertifica il possesso dei requisiti per la partecipazione a gare d’appalto.  L’adozione del DGUE elettronico, che può essere richiesto dalla Stazione Appaltante come documentazione amministrativa, mira a semplificare le procedure di D.Lgs.36/2023. La predisposizione del documento DGUE sulla piattaforma EmPULIA, attivabile per qualsiasi Bando/Invito relativo ad una procedura di gara ed all’abilitazione all’Albo Fornitori  o al Sistema Dinamico di Acquisizione (SDA), consente la compilazione del documento direttamente a Sistema (invece che come documento da allegare separatamente) per gli Operatori Economici, che dovranno compilare tutte le sezioni di loro competenza, scaricare il pdf auto generato, firmarlo digitalmente e ricaricarlo in apposito campo nella busta amministrativa. comando DGUE Strutturato e selezionare SI . La funzionalità non è disponibile nella configurazione di un avviso di manifestazione di interesse, ma sarà presente nella configurazione della successiva fase ad inviti. Se si attiva il DGUE strutturato, tutti gli OE coinvolti nella presentazione dell’offerta (mandataria, mandanti, ausiliarie, imprese esecutrici in caso di consorzi) avranno l’obbligo di compilare, firmare digitalmente e ricaricare il DGUE in piattaforma. Per specializzare il DGUE cliccare su Specializza Modulo DGUE Request Mandataria . Questo passaggio è obbligatorio se si è deciso di attivare il DGUE integrato.\n```\n\nFonte: SA_Indizione_Affidamento_diretto_richiesta_CIG.pdf - Pagina 40 - Sezione 'AFFIDAMENTO DIRETTO SENZA NEGOZIAZIONE'\n```\no superiore ai 5.000 € e fino ai limiti previsti da legge, e per gli AD alle società in house . Queste funzionalità consentono la richiesta del CIG in regime di interoperabilità senza necessità di interazione con l’OE/società in house a mezzo della piattaforma. La SA potrà infatti caricare su EmPULIA direttamente gli estremi dell’affidamento sulla base di preventivi o accordi gestiti extra- piattaforma e richiedere il relativo CIG senza necessità di pubblicare la procedura ed attenderne la relativa risposta dall’OE. Questa modalità non prevede obbligatoriamente la preventiva registrazione in piattaforma da parte dell’OE affidatario, ad eccezione degli affidamenti su accordo quadro, per i quali l’affidatario deve essere registrato. ATTENZIONE : l’utilizzo di questa modalità semplificata di ottenimento dei CIG comporta l’impossibilità di condividere tramite EmPULIA il DGUE strutturato, la documentazione e le comunicazioni, nonché la gestione in piattaforma del contratto. cinque distinte: Affidamenti Diretti < 5.000 €; Affidamenti Diretti >=5.000 €; Affidamenti Diretti a Società in house. Affidamenti >140.000 € Affidamenti su Accordo Quadro\n```""]","Per attivare e iniziare a personalizzare il DGUE strutturato per una gara sulla piattaforma EmPULIA, segui questi passaggi:

1.  **Attivazione del DGUE strutturato:** Durante la configurazione del Bando/Invito relativo a una procedura di gara (o all'abilitazione all'Albo Fornitori o al Sistema Dinamico di Acquisizione - SDA), individua il **comando DGUE Strutturato** e seleziona **SI**.  Questa opzione permette agli Operatori Economici di compilare il DGUE direttamente sulla piattaforma.

2.  **Specializzazione del DGUE:** Dopo aver attivato il DGUE strutturato, clicca su **Specializza Modulo DGUE Request Mandataria**. Questo passaggio è **obbligatorio** se hai deciso di attivare il DGUE integrato.  La specializzazione permette di adattare il DGUE alle specifiche esigenze della gara.

**Importante:**

*   L'attivazione del DGUE strutturato comporta l'obbligo per tutti gli Operatori Economici coinvolti (mandataria, mandanti, ausiliarie, imprese esecutrici in caso di consorzi) di compilare, firmare digitalmente e ricaricare il DGUE sulla piattaforma.
*   La funzionalità del DGUE strutturato non è disponibile nella configurazione di un avviso di manifestazione di interesse, ma sarà presente nella configurazione della successiva fase ad inviti.
*   Se si utilizza la modalità semplificata di ottenimento dei CIG per gli affidamenti diretti (caricando direttamente gli estremi dell'affidamento su EmPULIA), non è possibile condividere tramite EmPULIA il DGUE strutturato.","Per attivare il DGUE strutturato, devi andare nella sezione 'Busta Documentazione' durante la configurazione della gara e selezionare 'SI' al comando 'DGUE Strutturato'. Dopo l'attivazione, per iniziare la personalizzazione, è obbligatorio cliccare su 'Specializza Modulo DGUE Request Mandataria'.",0.9375,0.9555873764884764,0.49999999995,0.5
"È obbligatorio compilare tutti i moduli e le sezioni del DGUE, o posso disattivarne alcuni?",[],Non ho trovato informazioni specifiche per rispondere alla tua domanda.,"Non tutti i moduli e le sezioni sono obbligatori. Secondo la guida, alcune 'Parti, Sezioni e Moduli Richieste' sono obbligatorie e non possono essere rimosse. Quelle che invece presentano una spunta blu sotto la colonna 'Selezionato' possono essere disattivate o riattivate dalla Stazione Appaltante (SA) a seconda della loro pertinenza per la gara.",0.0,0.0,0.0,0.0
Qual è la differenza tra definire un attributo per 'Lotto' e per 'Voce' in un modello di offerta?,[],Non ho trovato informazioni specifiche per rispondere alla tua domanda.,"La differenza sta nel livello a cui l'attributo viene applicato. Selezionando 'Lotto', l'attributo viene richiesto una sola volta per l'intero lotto (livello 0), come nel caso di un'unica relazione tecnica per tutti i prodotti. Selezionando 'Voce', l'attributo viene richiesto per ogni singola riga di prodotto o servizio all'interno del lotto (livelli 1, 2, 3, ecc.), ad esempio per richiedere specifiche tecniche per ciascun prodotto.",1.0,0.0,0.0,0.0
Ho definito un attributo come 'Calcolato'. Dove e come devo definire la formula matematica che ne determina il valore?,[],Non ho trovato informazioni specifiche per rispondere alla tua domanda.,"Se un attributo è stato definito come 'Calcolato' nella tabella 'Attributi da usare nelle fasi di gara', devi andare nella sezione 'Colonne calcolate'. Lì, per definire la formula, devi prima cliccare su 'Aggiungi Calcolo', selezionare l'attributo da calcolare e poi cliccare sull'icona della lente nella colonna 'Apri' per accedere alla calcolatrice e inserire la formula matematica.",1.0,0.0,0.0,0.0
Qual è il requisito fondamentale per i membri di una Commissione di Gara per poter operare sulla piattaforma EmPULIA?,[],Non ho trovato informazioni specifiche per rispondere alla tua domanda.,"Secondo la guida, è necessario che sia il 'Presidente/Soggetto Valutatore' sia tutti gli altri membri del 'Seggio di Gara' e/o delle 'Commissioni Tecnica ed Economica' siano necessariamente registrati al sistema.",0.0,0.0,0.0,0.0
Come posso aggiungere un membro a un Seggio di Gara se non è ancora registrato sulla piattaforma EmPULIA?,[],Non ho trovato informazioni specifiche per rispondere alla tua domanda.,"Per aggiungere un membro non ancora registrato, devi cliccare sul comando 'Aggiungi' sopra la tabella 'Lista Utenti Coinvolti'. Sulla nuova riga che appare, seleziona la casella 'Registra', indica il Ruolo che vuoi attribuirgli e infine compila tutte le informazioni richieste: Codice Fiscale, Nome, Cognome, Ruolo Aziendale ed E-Mail.",1.0,0.0,0.0,0.0
"Se uso le funzioni 'Modifica Contratto' o 'Rinnovo' per cambiare la data di scadenza, queste modifiche vengono comunicate automaticamente ad ANAC?",[],Non ho trovato informazioni specifiche per rispondere alla tua domanda.,"No, le modifiche non vengono comunicate automaticamente. Le funzionalità di 'Modifica Contratto' e 'Funzioni' (come Rinnovo ed Estensione) non prevedono l'invio di schede con i dati modificati alla Piattaforma Contratti Pubblici (PCP) di ANAC. È quindi responsabilità dell'utente operare anche tramite il modulo 'Esecuzione' per adempiere a tali obblighi informativi.",1.0,0.0,0.0,0.0
Ho più aggiudicazioni per lotti diversi vinti dallo stesso operatore. Come posso creare un unico contratto per tutte?,"['Informazioni rilevanti trovate nel Knowledge Graph:\n\n- Entità: Criterio di aggiudicazione (Tipo: Criterio)\n  Descrizione: Criterio di aggiudicazione Sopra/sotto soglia.\n- Entità: Procedura di Aggiudicazione (Tipo: Processo)', ""--- Testo Originale dalle Guide per Contesto Aggiuntivo ---\n\nFonte: SA_Calcolo_Anomalia.pdf - Pagina 4 - Sezione 'DFINIZIONE ANOMALIA IN FASE DI CREAZIONE GARA'\n```\nManuale SA | Calcolo dell’anomalia Manuale SA | Calcolo dell’anomalia Il presente manuale illustra le modalità con cui la piattaforma EmPULIA gestisce il calcolo dell’anomalia, in particolare a seguito degli aggiornamenti di adeguamento al nuovo Codice dei Contratti D.lgs.36/2023. Viene dunque descritto di seguito: Modalità di gestione dell’anomalia; Si può far invece riferimento al Manuale SA | Procedura di Aggiudicazione (versione 1.1 o successive) per sull’anomalia e per assegnare definitivamente l’esito anomalia. Ai sensi del D.Lgs. 36/2023 ed in particolare del combinato disposto dagli artt. 54 e 110, nonché dall’Allegato II.2 al Codice, la piattaforma gestirà l’anomalia in maniera differente, a seconda dei Criterio di aggiudicazione Sopra/sotto soglia Ambito qualora si attivi il calcolo dell’anomalia, la piattaforma eseguirà obbligatoriamente l’esclusione automatica delle offerte anomale. Saranno a disposizione degli utenti i seguenti metodi di calcolo previsti dall’Allegato II.2: Metodo A ; Metodo B ; Metodo C . essere sorteggiato prima dell’apertura delle buste amministrative. configurazione gara, pertanto tale metodo non sarà disponibile nel caso di sorteggio ex post. qualora si attivi il calcolo dell’anomalia, non sarà disponibile l’esclusione automatica, ma verrà\n```\n\nFonte: SA_Calcolo_Anomalia.pdf - Pagina 11 - Sezione 'DFINIZIONE ANOMALIA IN FASE DI CREAZIONE GARA'\n```\nManuale SA | Calcolo dell’anomalia Manuale SA | Calcolo dell’anomalia richiesta dei giustificativi) avranno superato la verifica o meno, indicando direttamente lo stato Anomalo oppure Verifica Superata . gruppo Importi : Tipo Gara . Attraverso Tipo Gara è possibile definire se la procedura debba essere considerata sopra o sotto la soglia. L’indicazione del Tipo di Gara, combinato all’Ambito (Forniture, Servizi o Lavori) ed al criterio di aggiudicazione (PPB o OEPV), comporta un diverso comportamento dei parametri presenti nel gruppo Se per il Calcolo Anomalia viene scelta l’opzione NO , la piattaforma non effettuerà nessun calcolo dell’anomalia, né metterà a disposizione una funzionalità dedicata alla gestione dell’anomalia. Indicare dunque NO se non si intende gestire in alcun modo l’anomalia tramite piattaforma. Manuale SA | Calcolo dell’anomalia Manuale SA | Calcolo dell’anomalia Impostando invece Calcolo Anomalia su SI , si possono aprire diversi scenari. su Esclusione automatica . Il compilatore potrà definire il Metodo di calcolo da utilizzare tra quelli disponibili. Solo nel caso di scelta del Metodo C, verrà richiesto obbligatoriamente di inserire anche lo Sconto di riferimento . Valutazione . Manuale SA | Calcolo dell’anomalia Manuale SA | Calcolo dell’anomalia Nel caso di scelta Manuale , non ci sarà da configurare nessun Metodo di calcolo, dal momento che sarà la commissione ad indicare manualmente eventuali offerte Anomale o sospette tali. Nel caso di scelta Valutazione, a seconda del criterio di aggiudicazione, sarà necessario indicare: Metodo A per le gare al PPB; Metodo 4/5 per le gare OEPV Resta inteso che, qualora la SA abbia previsto dei metodi di calcolo dell’anomalia diversi da quelli sopra elencati, si dovrà indicare la valutazione di tipo Manuale , oppure disattivare completamente il calcolo dell’anomalia e gestirlo extra piattaforma. Per le gare con criterio OEPV, si dovranno infine definire nella sezione Criteri Anomalia anche: Modalità di calcolo PT : definisce se il Punteggio tecnico, ai fini del calcolo dell’anomalia, debba essere considerato: o Ante riparametrazione : nel calcolo dell'anomalia vengono considerati i punteggi prima della riparametrazione; o Post riparametrazione : nel calcolo dell'anomalia vengono considerati i punteggi dopo la riparametrazione. Modalità di calcolo PE : definisce se il Punteggio economico, ai fini del calcolo dell’anomalia, debba essere considerato:\n```\n\nFonte: SA_IndizioneProceduraGara_AppaltoSpecifico (1).pdf - Pagina 30 - Sezione 'PRODOTTI'\n```\nSe non si vuole personalizzare il modello, si può usare uno dei modelli standard configurati. I modelli di offerta standard disponibili variano in base al tipo di gara in composizione, al criterio di aggiudicazione, all’ambito selezionato. del modello di gara adottato. In particolare, può variare sensibilmente il numero e la tipologia di Attributi . Per attributo si intende il campo riportato nell’intestazione di ciascuna colonna (ad es. Descrizione, Importo a base d’asta, Quantità ecc.). Gli attributi con l’asterisco saranno da compilare obbligatoriamente. saranno riportati, nelle colonne più a destra, alcuni attributi richiesti da ANAC ai fini dell’interoperabilità. Alcuni di questi valori sono da compilare ex-novo, altri invece saranno popolati sulla base di quanto di un file excel. Inseriti tutti i valori obbligatori o facoltativi riportati nella tabella Elenco Prodotti, cliccando su Verifica informazioni , sarà possibile avere evidenza di eventuali campi non compilati o compilati erroneamente. verde nella colonna Esito Riga . Se previsto per la tipologia di gara selezionata, è possibile aggiungere altre Righe , attraverso il pulsante configurate nel modello. Gli OE partecipanti dovranno dunque compilare tutte le righe configurate (ad es. se la SA intende richiedere un listino prezzi o un computo estimativo).\n```\n\nFonte: SA_IndizioneProceduraGara_AppaltoSpecifico.pdf - Pagina 30 - Sezione 'PRODOTTI'\n```\nSe non si vuole personalizzare il modello, si può usare uno dei modelli standard configurati. I modelli di offerta standard disponibili variano in base al tipo di gara in composizione, al criterio di aggiudicazione, all’ambito selezionato. del modello di gara adottato. In particolare, può variare sensibilmente il numero e la tipologia di Attributi . Per attributo si intende il campo riportato nell’intestazione di ciascuna colonna (ad es. Descrizione, Importo a base d’asta, Quantità ecc.). Gli attributi con l’asterisco saranno da compilare obbligatoriamente. saranno riportati, nelle colonne più a destra, alcuni attributi richiesti da ANAC ai fini dell’interoperabilità. Alcuni di questi valori sono da compilare ex-novo, altri invece saranno popolati sulla base di quanto di un file excel. Inseriti tutti i valori obbligatori o facoltativi riportati nella tabella Elenco Prodotti, cliccando su Verifica informazioni , sarà possibile avere evidenza di eventuali campi non compilati o compilati erroneamente. verde nella colonna Esito Riga . Se previsto per la tipologia di gara selezionata, è possibile aggiungere altre Righe , attraverso il pulsante configurate nel modello. Gli OE partecipanti dovranno dunque compilare tutte le righe configurate (ad es. se la SA intende richiedere un listino prezzi o un computo estimativo).\n```\n\nFonte: SA_IndizioneProceduraGara_AppaltoSpecifico (1).pdf - Pagina 45 - Sezione 'CRITERI DI VALUTAZIONE'\n```\nSarà dunque possibile modificarne la configurazione del criterio di valutazione lotto per lotto. La piattaforma ripropone le impostazioni (Criterio di aggiudicazione, Calcolo Anomalia, Conformità, Tipo Aggiudicazione ecc.) definiti in Testata, lasciando tuttavia la possibilità all’utente di specificare valori differenti per il lotto selezionato. Sarà ad esempio definire uno o più lotti al PPB ed altri con OEPV, oppure definire differenti modalità di gestione dell’anomalia per lotto. Nell’area sottostante, personalizzare per il solo lotto in esame tutti i parametri, quali ad es.: Il peso assegnato al Punteggio Economico ed il Punteggio Tecnico; Modalità di attribuzione del punteggio ; Parametri sulla Riparametrazione ; Con riferimento ai singoli criteri di valutazione, attraverso il pulsante Aggiungi Criteri Base , sarà possibile riproporre per il lotto in esame i criteri precedentemente definiti nella sezione Critieri di peraltro al paragrafo precedente per una descrizione dettagliata dei parametri configurabili. Dare al termine il comando Salva e chiudere il documento del lotto specifico.\n```\n\nFonte: SA_IndizioneProceduraGara_AppaltoSpecifico.pdf - Pagina 45 - Sezione 'CRITERI DI VALUTAZIONE'\n```\nSarà dunque possibile modificarne la configurazione del criterio di valutazione lotto per lotto. La piattaforma ripropone le impostazioni (Criterio di aggiudicazione, Calcolo Anomalia, Conformità, Tipo Aggiudicazione ecc.) definiti in Testata, lasciando tuttavia la possibilità all’utente di specificare valori differenti per il lotto selezionato. Sarà ad esempio definire uno o più lotti al PPB ed altri con OEPV, oppure definire differenti modalità di gestione dell’anomalia per lotto. Nell’area sottostante, personalizzare per il solo lotto in esame tutti i parametri, quali ad es.: Il peso assegnato al Punteggio Economico ed il Punteggio Tecnico; Modalità di attribuzione del punteggio ; Parametri sulla Riparametrazione ; Con riferimento ai singoli criteri di valutazione, attraverso il pulsante Aggiungi Criteri Base , sarà possibile riproporre per il lotto in esame i criteri precedentemente definiti nella sezione Critieri di peraltro al paragrafo precedente per una descrizione dettagliata dei parametri configurabili. Dare al termine il comando Salva e chiudere il documento del lotto specifico.\n```""]","La creazione di un unico contratto per più lotti aggiudicati allo stesso operatore economico dipende dalle funzionalità offerte dalla piattaforma che stai utilizzando (presumibilmente EmPULIA, basandomi sui documenti forniti).  Non c'è una risposta univoca senza conoscere le specifiche della piattaforma. Tuttavia, ecco un approccio generale e le considerazioni da fare:

**1. Verifica delle Funzionalità della Piattaforma:**

*   **Funzionalità di Raggruppamento Contratti:** Controlla se la piattaforma EmPULIA offre una funzionalità specifica per raggruppare più aggiudicazioni in un unico contratto. Cerca opzioni come ""Consolida Contratti"", ""Accorpa Aggiudicazioni"", o simili.  Questa sarebbe la soluzione più semplice.
*   **Supporto Clienti/Documentazione:** Consulta la documentazione della piattaforma o contatta il supporto clienti di EmPULIA.  Loro sapranno dirti se questa operazione è possibile e come farla.

**2. Approccio Alternativo (se la piattaforma non lo supporta direttamente):**

Se la piattaforma non offre una funzione di raggruppamento automatico, potresti dover procedere manualmente:

*   **Creazione Manuale del Contratto:** Scarica i dati relativi a ciascuna aggiudicazione (dettagli del lotto, importi, condizioni, ecc.).  Crea un nuovo documento contrattuale ""fuori"" dalla piattaforma (es. un documento Word o simile).  Questo documento dovrà fare riferimento a tutte le aggiudicazioni specifiche (indicando i numeri di riferimento dei lotti, le date di aggiudicazione, ecc.).
*   **Allegati:** Allega al contratto principale i documenti di aggiudicazione originali per ciascun lotto.  Questo fornisce una traccia completa e trasparente.
*   **Approvazione Legale:** Prima di finalizzare il contratto, fallo rivedere da un ufficio legale per assicurarti che sia conforme alle normative e che rifletta accuratamente i termini di tutte le aggiudicazioni.

**Considerazioni Importanti:**

*   **Condizioni Contrattuali:** Assicurati che le condizioni contrattuali siano coerenti tra tutti i lotti. Se ci sono differenze, dovrai esplicitarle chiaramente nel contratto unificato.
*   **Tracciabilità:** Mantieni una chiara tracciabilità di tutte le aggiudicazioni e del contratto unificato all'interno della piattaforma (anche se creato esternamente).  Potrebbe essere necessario caricare il contratto unificato come documento aggiuntivo nelle singole procedure di aggiudicazione dei lotti.
*   **Aspetti Legali:** Verifica che la creazione di un contratto unificato sia consentita dalle normative vigenti e dai documenti di gara.
*   **Criteri di Aggiudicazione:** Considera che i criteri di aggiudicazione (PPB o OEPV) potrebbero essere diversi per i vari lotti. Assicurati che il contratto unificato tenga conto di queste differenze.

**In sintesi:**

La soluzione ideale è utilizzare una funzionalità integrata nella piattaforma. Se non disponibile, la creazione manuale è possibile, ma richiede attenzione ai dettagli e una revisione legale per garantire la conformità. Contatta il supporto di EmPULIA per la risposta più accurata e specifica per la tua situazione.","Sì, è possibile creare un unico contratto. Per farlo, devi andare nella sezione 'Aggiudicazioni in attesa di contratto', selezionare tramite le check box tutte le aggiudicazioni relative ai diversi lotti vinti dallo stesso operatore e poi cliccare sul comando 'Contratto' nella toolbar. È fondamentale notare che questo è possibile solo se per questi lotti è stata creata un'unica comunicazione di aggiudicazione definitiva.",0.06666666666666667,0.0,0.0,0.0
Quali sono le principali regole generali che distinguono i concorsi di idee dalle gare tradizionali su EmPULIA?,"[""Informazioni rilevanti trovate nel Knowledge Graph:\n\n- Entità: REGOLE GENERALI DEI CONCORSI (Tipo: SezioneGuida)\n  Descrizione: La sezione della guida EmPULIA intitolata 'REGOLE GENERALI DEI CONCORSI' (ID: SA_IndizioneConcorsi_Idee_Progettazione.pdf_section_3) da cui provengono queste informazioni."", ""--- Testo Originale dalle Guide per Contesto Aggiuntivo ---\n\nFonte: SA_IndizioneConcorsi_Idee_Progettazione.pdf - Pagina 5 - Sezione 'REGOLE GENERALI DEI CONCORSI'\n```\nManuale SA | Indizione Concorsi di idee e di progettazione Manuale SA | Indizione Concorsi di idee e di progettazione Il presente manuale mostra le indicazioni per indire attraverso la piattaforma EmPULIA un concorso Per indire un concorso, è necessario innanzitutto effettuare l’accesso alla propria Area Riservata, inserendo le credenziali nella schermata di login della piattaforma di e-procurement. È possibile predisporre una nuova procedura se al proprio utente è stato assegnato il profilo specifico per l’indizione di concorsi. In generale, gli utenti con ruolo di Punto Istruttore (abilitati ai concorsi) possono creare un concorso predisponendo tutte le informazioni e la documentazione necessaria, secondo quanto illustrato nei prossimi paragrafi, e inviarlo in approvazione al RUP (abilitato anche lui ai concorsi). Gli utenti con profilo RUP abilitati alla creazione di concorsi potranno invece sia creare autonomamente che approvare e pubblicare concorsi configurati da utenti istruttori. progettazione, delle quali la SA deve assolutamente tenere conto anche in fase di configurazione delle relative procedure: Lotto singolo: i concorsi possono essere configurati solo con lotto singolo; Anonimato delle idee e dei progetti: idee e progetti saranno valutati dalla commissione senza che sia possibile risalire al relativo autore. La piattaforma garantisce l’anonimato delle offerte e delle comunicazioni fino al momento dell’apertura delle buste amministrative. Per tale motivo anche in fase di configurazione la piattaforma prevede un diverso approccio rispetto alle gare; Pubblicità dei bandi: il bando del concorso sarà visibile in area pubblica a qualunque utente che -previa registrazione sulla piattaforma EmPULIA- può presentare una risposta; Verifica documentazione amministrativa e controllo requisiti di partecipazione ex-post: dovendo garantire l’anonimato delle offerte, sarà possibile per la commissione accedere alle buste amministrative solo dopo aver completato l’esame delle buste tecniche ed aver definito una graduatoria; Assenza di offerta economica: i concorsi sono sempre configurati con 100 punti assegnati all’offerta tecnica e senza alcuna offerta economica; Assegnazione di premi o delle fasi successive di progettazione: è possibile definire se il concorso prevede l’assegnazione di premi, delle successive fasi di progettazione o di entrambi.\n```\n\nFonte: SA_IndizioneConcorsi_Idee_Progettazione.pdf - Pagina 46 - Sezione 'REGOLE GENERALI DEI CONCORSI'\n```\nManuale SA | Indizione Concorsi di idee e di progettazione Manuale SA | Indizione Concorsi di idee e di progettazione È possibile copiare la configurazione di un concorso selezionando nella tabella di riepilogo il concorso da copiare tra quelli presenti e cliccando sul comando Copia posizionato nella toolbar in alto. Nella tabella verrà predisposta una nuova riga con le medesime informazioni del concorso, il cui Nome verrà preimpostato come Copia di ... . Cliccare sull’icona della lente per aprire il dettaglio della nuova procedura e procedere alla compilazione/modifica delle informazioni. Si raccomanda di ricordarsi di modificare il nome e l’oggetto del concorso, e di inserire un nuovo CIG (valore non copiato dalla precedente gara). Con la stessa modalità è possibile eliminare un concorso in Lavorazione, selezionandolo e cliccando su Elimina . lavorazione o pubblicati, agli utenti che -nella sezione Riferimenti- sono stati indicati come riferimento Bando/Inviti o Referente Tecnico . funzionale di riferimento Concorsi di idee e di progettazione e successivamente sulla voce\n```""]","Le principali regole generali che distinguono i concorsi di idee dalle gare tradizionali su EmPULIA, secondo il documento fornito, sono:

*   **Lotto singolo:** I concorsi possono essere configurati solo con lotto singolo.
*   **Anonimato:** Le idee e i progetti sono valutati in forma anonima, senza che sia possibile risalire all'autore fino all'apertura delle buste amministrative. La piattaforma garantisce l'anonimato delle offerte e delle comunicazioni fino a quel momento.
*   **Pubblicità:** Il bando è visibile a chiunque si registri sulla piattaforma EmPULIA.
*   **Verifica ex-post:** La documentazione amministrativa e i requisiti di partecipazione sono verificati solo dopo la valutazione delle offerte tecniche e la definizione di una graduatoria.
*   **Assenza di offerta economica:** I concorsi sono valutati esclusivamente sull'offerta tecnica, con 100 punti assegnati a quest'ultima. Non è prevista un'offerta economica.
*   **Assegnazione premi/progettazione:** Il concorso può prevedere l'assegnazione di premi, delle successive fasi di progettazione, o entrambi.","I concorsi di idee e progettazione seguono regole specifiche diverse dalle altre gare. Le principali sono: possono essere configurati solo come 'lotto singolo'; garantiscono l' 'anonimato delle idee e dei progetti' fino all'apertura delle buste amministrative; non prevedono mai un' 'offerta economica' (il punteggio tecnico è sempre 100 punti); e la 'verifica della documentazione amministrativa' avviene 'ex-post', cioè solo dopo aver completato la valutazione tecnica e definito una graduatoria.",1.0,0.9978259855931313,0.49999999995,1.0
